Tweets,ISI,sentiment,tokenization,remove_stopword,normalisasi_tweet,tweet
bahkan orang terdekat terbatas melakukan banyak akhirnya membuat menjadi cemas bahkan depresi karena saya disini mau berbagi bagaimana cara menjaga mental kesehatan selama masa pandemi covid yuk baca poster diatas dan,bahkan orang terdekat terbatas melakukan banyak akhirnya membuat menjadi cemas bahkan depresi karena saya disini mau berbagi bagaimana cara menjaga mental kesehatan selama masa pandemi covid yuk baca poster diatas dan,bahkan orang terdekat terbatas melakukan banyak akhirnya membuat menjadi cemas bahkan depresi karena saya disini mau berbagi bagaimana cara menjaga mental kesehatan selama masa pandemi covid yuk baca poster diatas dan,"['bahkan', 'orang', 'terdekat', 'terbatas', 'melakukan', 'banyak', 'akhirnya', 'membuat', 'menjadi', 'cemas', 'bahkan', 'depresi', 'karena', 'saya', 'disini', 'mau', 'berbagi', 'bagaimana', 'cara', 'menjaga', 'mental', 'kesehatan', 'selama', 'masa', 'pandemi', 'covid', 'yuk', 'baca', 'poster', 'diatas', 'dan']","['orang', 'terdekat', 'terbatas', 'cemas', 'depresi', 'berbagi', 'menjaga', 'mental', 'kesehatan', 'pandemi', 'covid', 'yuk', 'baca', 'poster', 'diatas']","['orang', 'terdekat', 'terbatas', 'cemas', 'depresi', 'berbagi', 'menjaga', 'mental', 'kesehatan', 'pandemi', 'covid', 'yuk', 'baca', 'poster', 'diatas']",orang terdekat terbatas cemas depresi berbagi menjaga mental kesehatan pandemi covid yuk baca poster diatas
harusnya targetnya semester lulus semua can cuz everyone stressed too much kalau  bicara  mental stabil sejak pandemi takutnya malah percaya satttttttt mau punya punya beasiswa kalau  merasa  down depresi rasanya cont,harusnya targetnya semester lulus semua can cuz everyone stressed too much kalau bicara mental stabil sejak pandemi takutnya malah percaya satttttttt mau punya punya beasiswa kalau merasa down depresi rasanya cont,harusnya targetnya semester lulus semua can cuz everyone stressed too much kalau bicara mental stabil sejak pandemi takutnya malah percaya satttttttt mau punya punya beasiswa kalau merasa down depresi rasanya cont,"['harusnya', 'targetnya', 'semester', 'lulus', 'semua', 'can', 'cuz', 'everyone', 'stressed', 'too', 'much', 'kalau', 'bicara', 'mental', 'stabil', 'sejak', 'pandemi', 'takutnya', 'malah', 'percaya', 'satttttttt', 'mau', 'punya', 'punya', 'beasiswa', 'kalau', 'merasa', 'down', 'depresi', 'rasanya', 'cont']","['targetnya', 'semester', 'lulus', 'can', 'cuz', 'everyone', 'stressed', 'too', 'much', 'bicara', 'mental', 'stabil', 'pandemi', 'takutnya', 'percaya', 'satttttttt', 'beasiswa', 'down', 'depresi', 'cont']","['targetnya', 'semester', 'lulus', 'can', 'cuz', 'everyone', 'stressed', 'too', 'much', 'bicara', 'mental', 'stabil', 'pandemi', 'takutnya', 'percaya', 'satttttttt', 'beasiswa', 'down', 'depresi', 'cont']",targetnya semester lulus can cuz everyone stressed too much bicara mental stabil pandemi takutnya percaya satttttttt beasiswa down depresi cont
mental kesehatan terganggu sangat  saat psbb dulu saat ppkm sih bukan sudah  sembuh cuman sudah  lebih baik saja  sudah  adaptasi sama pandemi lah tapi  don ever you give yourself here for you ceritain saja  semuanya kaya semalam  yes you too adik ,mental kesehatan terganggu sangat saat psbb dulu saat ppkm sih bukan sudah sembuh cuman sudah lebih baik saja sudah adaptasi sama pandemi lah tapi don ever you give yourself here for you ceritain saja semuanya kaya semalam yes you too adik ,mental kesehatan terganggu sangat saat psbb dulu saat ppkm sih bukan sudah sembuh cuman sudah lebih baik saja sudah adaptasi sama pandemi lah tapi don ever you give yourself here for you ceritain saja semuanya kaya semalam yes you too adik ,"['mental', 'kesehatan', 'terganggu', 'sangat', 'saat', 'psbb', 'dulu', 'saat', 'ppkm', 'sih', 'bukan', 'sudah', 'sembuh', 'cuman', 'sudah', 'lebih', 'baik', 'saja', 'sudah', 'adaptasi', 'sama', 'pandemi', 'lah', 'tapi', 'don', 'ever', 'you', 'give', 'yourself', 'here', 'for', 'you', 'ceritain', 'saja', 'semuanya', 'kaya', 'semalam', 'yes', 'you', 'too', 'adik', '']","['mental', 'kesehatan', 'terganggu', 'psbb', 'ppkm', 'sih', 'sembuh', 'cuman', 'adaptasi', 'pandemi', 'don', 'ever', 'you', 'give', 'yourself', 'here', 'for', 'you', 'ceritain', 'kaya', 'semalam', 'yes', 'you', 'too', 'adik', '']","['mental', 'kesehatan', 'terganggu', 'psbb', 'ppkm', 'sih', 'sembuh', 'hanya', 'adaptasi', 'pandemi', 'don', 'ever', 'you', 'give', 'yourself', 'here', 'for', 'you', 'ceritain', 'kaya', 'semalam', 'yes', 'you', 'too', 'adik', '']",mental kesehatan terganggu psbb ppkm sih sembuh hanya adaptasi pandemi don ever you give yourself here for you ceritain kaya semalam yes you too adik
hallo ners allah baik sekali  meskipun babak belur fisik mental hantam lonjakan pasien igd covid allah kasih  saya berkah untuk  selalu profesional melayani sampai hari saat teman-teman  isoman pacar  rutin seminggu sekali,hallo ners allah baik sekali meskipun babak belur fisik mental hantam lonjakan pasien igd covid allah kasih saya berkah untuk selalu profesional melayani sampai hari saat teman teman isoman pacar rutin seminggu sekali,hallo ners allah baik sekali meskipun babak belur fisik mental hantam lonjakan pasien igd covid allah kasih saya berkah untuk selalu profesional melayani sampai hari saat teman teman isoman pacar rutin seminggu sekali,"['hallo', 'ners', 'allah', 'baik', 'sekali', 'meskipun', 'babak', 'belur', 'fisik', 'mental', 'hantam', 'lonjakan', 'pasien', 'igd', 'covid', 'allah', 'kasih', 'saya', 'berkah', 'untuk', 'selalu', 'profesional', 'melayani', 'sampai', 'hari', 'saat', 'teman', 'teman', 'isoman', 'pacar', 'rutin', 'seminggu', 'sekali']","['hallo', 'ners', 'allah', 'babak', 'belur', 'fisik', 'mental', 'hantam', 'lonjakan', 'pasien', 'igd', 'covid', 'allah', 'kasih', 'berkah', 'profesional', 'melayani', 'teman', 'teman', 'isoman', 'pacar', 'rutin', 'seminggu']","['hallo', 'ners', 'allah', 'babak', 'belur', 'fisik', 'mental', 'hantam', 'lonjakan', 'pasien', 'igd', 'covid', 'allah', 'kasih', 'berkah', 'profesional', 'melayani', 'teman', 'teman', 'isoman', 'pacar', 'rutin', 'seminggu']",hallo ners allah babak belur fisik mental hantam lonjakan pasien igd covid allah kasih berkah profesional melayani teman teman isoman pacar rutin seminggu
patokan mereka  kena covid dua2nya langsung mental terlalu riskan dipisah karena  chemistry sudah  oke mulai awal senior sangat sulit pekerjaan terlalu  banyak  dibanding benahi kkurangan mereka  belum  mereka  masih  xdterbaik indonesia ini gap dengan  pelapis terlalu  jauh,patokan mereka kena covid dua nya langsung mental terlalu riskan dipisah karena chemistry sudah oke mulai awal senior sangat sulit pekerjaan terlalu banyak dibanding benahi kkurangan mereka belum mereka masih xdterbaik indonesia ini gap dengan pelapis terlalu jauh,patokan mereka kena covid dua nya langsung mental terlalu riskan dipisah karena chemistry sudah oke mulai awal senior sangat sulit pekerjaan terlalu banyak dibanding benahi kkurangan mereka belum mereka masih xdterbaik indonesia ini gap dengan pelapis terlalu jauh,"['patokan', 'mereka', 'kena', 'covid', 'dua', 'nya', 'langsung', 'mental', 'terlalu', 'riskan', 'dipisah', 'karena', 'chemistry', 'sudah', 'oke', 'mulai', 'awal', 'senior', 'sangat', 'sulit', 'pekerjaan', 'terlalu', 'banyak', 'dibanding', 'benahi', 'kkurangan', 'mereka', 'belum', 'mereka', 'masih', 'xdterbaik', 'indonesia', 'ini', 'gap', 'dengan', 'pelapis', 'terlalu', 'jauh']","['patokan', 'kena', 'covid', 'nya', 'langsung', 'mental', 'riskan', 'dipisah', 'chemistry', 'oke', 'senior', 'sulit', 'pekerjaan', 'dibanding', 'benahi', 'kkurangan', 'xdterbaik', 'indonesia', 'gap', 'pelapis']","['patokan', 'kena', 'covid', 'nya', 'langsung', 'mental', 'riskan', 'dipisah', 'chemistry', 'oke', 'senior', 'sulit', 'pekerjaan', 'dibanding', 'benahi', 'kkurangan', 'xdterbaik', 'indonesia', 'gap', 'pelapis']",patokan kena covid nya langsung mental riskan dipisah chemistry oke senior sulit pekerjaan dibanding benahi kkurangan xdterbaik indonesia gap pelapis
pikir ini semua orang kena dampak pandemi baik saja  mentalnya mah mental baik bisa jalan coba pikirin orang bisa jalan2,pikir ini semua orang kena dampak pandemi baik saja mentalnya mah mental baik bisa jalan coba pikirin orang bisa jalan ,pikir ini semua orang kena dampak pandemi baik saja mentalnya mah mental baik bisa jalan coba pikirin orang bisa jalan ,"['pikir', 'ini', 'semua', 'orang', 'kena', 'dampak', 'pandemi', 'baik', 'saja', 'mentalnya', 'mah', 'mental', 'baik', 'bisa', 'jalan', 'coba', 'pikirin', 'orang', 'bisa', 'jalan', '']","['pikir', 'orang', 'kena', 'dampak', 'pandemi', 'mentalnya', 'mah', 'mental', 'jalan', 'coba', 'pikirin', 'orang', 'jalan', '']","['pikir', 'orang', 'kena', 'dampak', 'pandemi', 'mentalnya', 'mah', 'mental', 'jalan', 'coba', 'pikirin', 'orang', 'jalan', '']",pikir orang kena dampak pandemi mentalnya mah mental jalan coba pikirin orang jalan
berat sih memang kalau  tidak  didukung dosen supportif sudah  mikir biaya kuliah skripsi direspon respon semangat untuk  masnya semoga dilancarkan segala uruannya and again kesehatan mental main main kalau  punya teman  semester akhir semangatin terus,berat sih memang kalau tidak didukung dosen supportif sudah mikir biaya kuliah skripsi direspon respon semangat untuk masnya semoga dilancarkan segala uruannya and again kesehatan mental main main kalau punya teman semester akhir semangatin terus,berat sih memang kalau tidak didukung dosen supportif sudah mikir biaya kuliah skripsi direspon respon semangat untuk masnya semoga dilancarkan segala uruannya and again kesehatan mental main main kalau punya teman semester akhir semangatin terus,"['berat', 'sih', 'memang', 'kalau', 'tidak', 'didukung', 'dosen', 'supportif', 'sudah', 'mikir', 'biaya', 'kuliah', 'skripsi', 'direspon', 'respon', 'semangat', 'untuk', 'masnya', 'semoga', 'dilancarkan', 'segala', 'uruannya', 'and', 'again', 'kesehatan', 'mental', 'main', 'main', 'kalau', 'punya', 'teman', 'semester', 'akhir', 'semangatin', 'terus']","['berat', 'sih', 'didukung', 'dosen', 'supportif', 'mikir', 'biaya', 'kuliah', 'skripsi', 'direspon', 'respon', 'semangat', 'masnya', 'semoga', 'dilancarkan', 'uruannya', 'and', 'again', 'kesehatan', 'mental', 'main', 'main', 'teman', 'semester', 'semangatin']","['berat', 'sih', 'didukung', 'dosen', 'supportif', 'mikir', 'biaya', 'kuliah', 'skripsi', 'direspon', 'respon', 'semangat', 'masnya', 'semoga', 'dilancarkan', 'uruannya', 'and', 'again', 'kesehatan', 'mental', 'main', 'main', 'teman', 'semester', 'semangatin']",berat sih didukung dosen supportif mikir biaya kuliah skripsi direspon respon semangat masnya semoga dilancarkan uruannya and again kesehatan mental main main teman semester semangatin
kesehatan mental saya stabil saya kasihan  anak saya,kesehatan mental saya stabil saya kasihan anak saya,kesehatan mental saya stabil saya kasihan anak saya,"['kesehatan', 'mental', 'saya', 'stabil', 'saya', 'kasihan', 'anak', 'saya']","['kesehatan', 'mental', 'stabil', 'kasihan', 'anak']","['kesehatan', 'mental', 'stabil', 'kasihan', 'anak']",kesehatan mental stabil kasihan anak
bekerja keduanya akibat pandemi jadi anak perempuan pertama bnr2 berat sekali  ingin ngilang saja  masih punya rasa tanggung jawab sama adik ngejar materi jalan pelan penting mental sehat don know what supposed,bekerja keduanya akibat pandemi jadi anak perempuan pertama bnr berat sekali ingin ngilang saja masih punya rasa tanggung jawab sama adik ngejar materi jalan pelan penting mental sehat don know what supposed,bekerja keduanya akibat pandemi jadi anak perempuan pertama bnr berat sekali ingin ngilang saja masih punya rasa tanggung jawab sama adik ngejar materi jalan pelan penting mental sehat don know what supposed,"['bekerja', 'keduanya', 'akibat', 'pandemi', 'jadi', 'anak', 'perempuan', 'pertama', 'bnr', 'berat', 'sekali', 'ingin', 'ngilang', 'saja', 'masih', 'punya', 'rasa', 'tanggung', 'jawab', 'sama', 'adik', 'ngejar', 'materi', 'jalan', 'pelan', 'penting', 'mental', 'sehat', 'don', 'know', 'what', 'supposed']","['akibat', 'pandemi', 'anak', 'perempuan', 'bnr', 'berat', 'ngilang', 'tanggung', 'adik', 'ngejar', 'materi', 'jalan', 'pelan', 'mental', 'sehat', 'don', 'know', 'what', 'supposed']","['akibat', 'pandemi', 'anak', 'perempuan', 'benar ', 'berat', 'ngilang', 'tanggung', 'adik', 'ngejar', 'materi', 'jalan', 'pelan', 'mental', 'sehat', 'don', 'know', 'what', 'supposed']",akibat pandemi anak perempuan benar  berat ngilang tanggung adik ngejar materi jalan pelan mental sehat don know what supposed
doi trauma serangan mental hebat lur dadi tulung dipahami dimesaakke adewe kudu iso ngerti konteks pandemi serba sulit gimana rasanya jadi tulang punggung keluarga,doi trauma serangan mental hebat lur dadi tulung dipahami dimesaakke adewe kudu iso ngerti konteks pandemi serba sulit gimana rasanya jadi tulang punggung keluarga,doi trauma serangan mental hebat lur dadi tulung dipahami dimesaakke adewe kudu iso ngerti konteks pandemi serba sulit gimana rasanya jadi tulang punggung keluarga,"['doi', 'trauma', 'serangan', 'mental', 'hebat', 'lur', 'dadi', 'tulung', 'dipahami', 'dimesaakke', 'adewe', 'kudu', 'iso', 'ngerti', 'konteks', 'pandemi', 'serba', 'sulit', 'gimana', 'rasanya', 'jadi', 'tulang', 'punggung', 'keluarga']","['doi', 'trauma', 'serangan', 'mental', 'hebat', 'lur', 'dadi', 'tulung', 'dipahami', 'dimesaakke', 'adewe', 'kudu', 'iso', 'ngerti', 'konteks', 'pandemi', 'serba', 'sulit', 'gimana', 'tulang', 'punggung', 'keluarga']","['doi', 'trauma', 'serangan', 'mental', 'hebat', 'lur', 'dadi', 'tulung', 'dipahami', 'dimesaakke', 'adewe', 'kudu', 'iso', 'ngerti', 'konteks', 'pandemi', 'serba', 'sulit', 'gimana', 'tulang', 'punggung', 'keluarga']",doi trauma serangan mental hebat lur dadi tulung dipahami dimesaakke adewe kudu iso ngerti konteks pandemi serba sulit gimana tulang punggung keluarga
