,POS_Tweet
0,berbagi menjaga
1,targetnya stabil takutnya percaya
2,terganggu sembuh hanya adaptasi kaya
3,babak hantam lonjakan profesional melayani pacar seminggu
4,patokan langsung mental riskan senior sulit dibanding benahi xdterbaik pelapis
5,pikir mentalnya mah coba
6,didukung supportif mikir dilancarkan uruannya main
7,stabil
8,tanggung ngejar sehat
9,dadi dipahami sulit punggung
10,maju meraih karirnya sukses dikenal pokoknya terbaik
11,andai masnya resign utama masnya sembuh traumanya
12,produktif
13,sosial
14,mengkhawatirkan didengarkan bebal kuat
15,untung untungnya dibantai salah kena
16,menganggap dikaitkan asli
17,susipudjiastuti sedih kuat berat menghadapi
18,dibutuhkan butuh butuh membantu cukong dibutuhkan krisis cuci
19,takut mengganggu mental
20,that hanya saranin cari membaik hutangnya cepat selesai
21,nasional banyaknya mengalami dipahami
22,pengaruhi
23,terbuka mental
24,berjalan
25,mutual lupa makan sehat istirahat coba sehat penuh kebaikan
26,pandemi
27,yesus lancar secar terbaik ada cedera tertinggi pemain
28,diharapkan meningkatkan menjaga
29,temukan selengkapnya othotqkki
30,meningkatkan
31,hamil sedih langsung mikir bayinya
32,bersyukur merasakan cenderung ngebantu tertawa
33,terkait diperbincangkan berbeda dewasa sulit mengutarakan hatinya
34,lupa kalah utama alami
35,jarang drama bahas serius gratis hanya drama
36,dianjurkan menerapkan
37,lakukan kenal kebal sehat pandemi
38,sehat menjalankan kesehariannya lancar berusaha menjaga mental
39,mengganggu mental
40,sehat produktif salah menjauhi rusak dirimu
41,burnout menggambarkan berat dipicu dibiarkan larut memengaruhi jlzeqgiyxg
42,cinta melukai bunuh pencegahanbunuhdiri
43,vital sih serba susah menyepelekan
44,tuh manipulatif sih pokoknya smp tuh gapeduli
45,buruk
46,steorotip negatif
47,psikologis meningkat majalahtempo
48,mengekspresikan kecewanya berbeda beda hukumnya berjuang cinta menjaga mental
49,kutahu tercinta menyadari mental
50,menerapkan menjaga menjalani produktif gais
51,terpaksa
52,menimbulkan mengkhawatirkan muda mengundang menghadiri membahas
53,orgnya pendiam jawa bali diperpanjang sedih curhat sembuh
54,salah melawan pandemi
55,membahas kasusnya pandemi menyebabkan psikologis serius korbannya
56,memunculkan memenuhi mencuatnya kdrt
57,selipkan sehat sehat doakan hilang doakan tercapai mendoakan doakan kebaikan
58,jaga duka berat nerima kenal yuk
59,merendahkan concern
60,bahagianya bersyukur mgkin
61,ada tumpukan
